subject_id,gender,age,understood,comments,attention_passed,memory_correct_count,comprehension_attempt
39c410f8-4466-563b-88eb-0566b1ed9b2d,female,31,yes,,True,3,1
2f7f831a-1131-5880-aeb3-d09faee78459,male,37,yes,no,True,1,1
d949314f-a04d-5981-bf30-4c7bac36aa6a,male,46,yes,n/a,True,3,1
f12044f6-4e89-51b9-b705-25fb60791b49,male,26,yes,,True,3,1
673b5e91-5060-50a4-a9b1-54f5499362a0,female,37,yes,"Very interesting survey, makes you think!",True,3,1
5f625a99-2cf7-58ba-ab4b-729d802b9997,male,23,yes,Thank you!,True,1,2
4ca5b55b-253a-5992-8bad-313f8590998e,female,31,yes,,True,3,2
bb3042ff-8454-53aa-b0b1-87d9e210262f,male,29,yes,,True,1,2
c5ce7842-2b62-5ca9-8df8-857266f0b479,female,53,yes,,True,3,1
34a491a5-6a15-56eb-96c2-344cd2d3206b,female,57,yes,,True,2,1
64840199-4829-5c18-b2f4-3f3131f5c279,nonconforming,23,yes,"The memory checks are necessary, but I think one being the names (with options similar to the actual names) vs. one questioning something actually relevant to the scenario (the wedding one) feels unbalanced and I can see people getting names wrong seeing how irrelevant the names are other than differentiating which person is which in each scenario. ",True,3,2
295033fe-1b7f-5b88-a421-f65e37e52623,female,20,yes,,True,3,1
2e548862-32c0-505b-ad31-1f926d9ed17a,male,49,yes,Thanks for the opportunity!,True,3,1
8061842f-c09a-514f-b104-57646037a7a5,male,49,yes,"Use a better scale than maximally formal and moderately intimate for the relationships. Using coworkers, friends, lovers, etc would suffice and make simpler.",True,3,1
d828e789-19d1-5a57-bdd3-b86e1b86ac23,male,23,yes,,True,2,1
cbcd2dbf-2e1d-52fd-9408-307279fd76c8,female,56,yes,It was interesting!  Although it was challenging to remember the correct names foods for each scenario. I really struggled to get the attention checks correct (if I did!)!,True,3,1
5c7c4552-e175-5595-b30b-89837ad37d42,male,32,yes,,True,2,1
16abceb1-3392-52ac-a58a-660b76eaa1c7,female,44,yes,none,True,3,1
3aca1b20-e8e2-5435-bb62-bc4310371fd3,male,19,yes,,True,2,1
3dcd9942-a928-59dd-b3c0-0db28552e4c3,male,36,yes,Thank you,True,2,1
