subject_id,scenario_label,action_condition,effort,stage,intimacy_rating
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,apples,action_2,low,posterior,100
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,apples,action_2,low,prior,93
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,basketball,action_1,high,posterior,61
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,basketball,action_1,high,prior,66
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,birthday,action_2,high,posterior,92
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,birthday,action_2,high,prior,60
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,brunch,action_2,high,posterior,77
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,brunch,action_2,high,prior,50
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,cooking,action_1,low,posterior,93
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,cooking,action_1,low,prior,93
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,dip,action_1,high,posterior,53
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,dip,action_1,high,prior,57
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,drinks,action_2,high,posterior,100
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,drinks,action_2,high,prior,54
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,driving,action_1,low,posterior,60
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,driving,action_1,low,prior,60
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,fair,action_1,low,posterior,68
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,fair,action_1,low,prior,76
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,gala,action_2,low,posterior,100
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,gala,action_2,low,prior,75
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,hike,action_2,high,posterior,100
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,hike,action_2,high,prior,78
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,oysters,action_1,high,posterior,30
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,oysters,action_1,high,prior,54
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,social,action_2,low,posterior,100
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,social,action_2,low,prior,60
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,soup,action_1,low,posterior,60
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,soup,action_1,low,prior,60
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,takeout,action_2,low,posterior,100
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,takeout,action_2,low,prior,38
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,wedding,action_1,high,posterior,75
0ba25fe9-dcfa-5074-b702-782ee2c5d7d3,wedding,action_1,high,prior,75
2ded350e-f17f-57b0-b066-0d178bb5a7f8,apples,action_1,low,posterior,38
2ded350e-f17f-57b0-b066-0d178bb5a7f8,apples,action_1,low,prior,50
2ded350e-f17f-57b0-b066-0d178bb5a7f8,basketball,action_1,high,posterior,47
2ded350e-f17f-57b0-b066-0d178bb5a7f8,basketball,action_1,high,prior,54
2ded350e-f17f-57b0-b066-0d178bb5a7f8,birthday,action_2,high,posterior,84
2ded350e-f17f-57b0-b066-0d178bb5a7f8,birthday,action_2,high,prior,62
2ded350e-f17f-57b0-b066-0d178bb5a7f8,brunch,action_1,low,posterior,52
2ded350e-f17f-57b0-b066-0d178bb5a7f8,brunch,action_1,low,prior,61
2ded350e-f17f-57b0-b066-0d178bb5a7f8,cooking,action_2,high,posterior,86
2ded350e-f17f-57b0-b066-0d178bb5a7f8,cooking,action_2,high,prior,73
2ded350e-f17f-57b0-b066-0d178bb5a7f8,dip,action_1,low,posterior,50
2ded350e-f17f-57b0-b066-0d178bb5a7f8,dip,action_1,low,prior,55
2ded350e-f17f-57b0-b066-0d178bb5a7f8,drinks,action_1,high,posterior,50
2ded350e-f17f-57b0-b066-0d178bb5a7f8,drinks,action_1,high,prior,56
2ded350e-f17f-57b0-b066-0d178bb5a7f8,driving,action_2,low,posterior,90
2ded350e-f17f-57b0-b066-0d178bb5a7f8,driving,action_2,low,prior,55
2ded350e-f17f-57b0-b066-0d178bb5a7f8,fair,action_1,high,posterior,50
2ded350e-f17f-57b0-b066-0d178bb5a7f8,fair,action_1,high,prior,57
2ded350e-f17f-57b0-b066-0d178bb5a7f8,gala,action_1,high,posterior,50
2ded350e-f17f-57b0-b066-0d178bb5a7f8,gala,action_1,high,prior,56
2ded350e-f17f-57b0-b066-0d178bb5a7f8,hike,action_2,low,posterior,79
2ded350e-f17f-57b0-b066-0d178bb5a7f8,hike,action_2,low,prior,55
2ded350e-f17f-57b0-b066-0d178bb5a7f8,oysters,action_2,low,posterior,88
2ded350e-f17f-57b0-b066-0d178bb5a7f8,oysters,action_2,low,prior,59
2ded350e-f17f-57b0-b066-0d178bb5a7f8,social,action_1,low,posterior,44
2ded350e-f17f-57b0-b066-0d178bb5a7f8,social,action_1,low,prior,52
2ded350e-f17f-57b0-b066-0d178bb5a7f8,soup,action_2,high,posterior,87
2ded350e-f17f-57b0-b066-0d178bb5a7f8,soup,action_2,high,prior,57
2ded350e-f17f-57b0-b066-0d178bb5a7f8,takeout,action_2,high,posterior,82
2ded350e-f17f-57b0-b066-0d178bb5a7f8,takeout,action_2,high,prior,54
2ded350e-f17f-57b0-b066-0d178bb5a7f8,wedding,action_2,low,posterior,86
2ded350e-f17f-57b0-b066-0d178bb5a7f8,wedding,action_2,low,prior,58
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,apples,action_1,high,posterior,69
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,apples,action_1,high,prior,72
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,basketball,action_1,low,posterior,47
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,basketball,action_1,low,prior,54
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,birthday,action_2,low,posterior,100
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,birthday,action_2,low,prior,64
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,brunch,action_2,low,posterior,77
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,brunch,action_2,low,prior,52
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,cooking,action_2,high,posterior,97
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,cooking,action_2,high,prior,90
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,dip,action_1,low,posterior,69
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,dip,action_1,low,prior,68
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,drinks,action_2,high,posterior,90
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,drinks,action_2,high,prior,63
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,driving,action_1,low,posterior,65
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,driving,action_1,low,prior,73
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,fair,action_2,high,posterior,100
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,fair,action_2,high,prior,61
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,gala,action_1,high,posterior,59
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,gala,action_1,high,prior,89
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,hike,action_2,high,posterior,98
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,hike,action_2,high,prior,68
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,oysters,action_1,high,posterior,71
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,oysters,action_1,high,prior,71
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,social,action_2,low,posterior,100
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,social,action_2,low,prior,39
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,soup,action_1,low,posterior,50
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,soup,action_1,low,prior,56
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,takeout,action_2,low,posterior,96
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,takeout,action_2,low,prior,80
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,wedding,action_1,high,posterior,23
2df72a5b-a9e4-5bfc-bf79-17ac73a811ad,wedding,action_1,high,prior,42
308306c8-e5d4-5b6e-a73d-afead1345cc6,apples,action_1,high,posterior,76
308306c8-e5d4-5b6e-a73d-afead1345cc6,apples,action_1,high,prior,78
308306c8-e5d4-5b6e-a73d-afead1345cc6,basketball,action_1,low,posterior,75
308306c8-e5d4-5b6e-a73d-afead1345cc6,basketball,action_1,low,prior,77
308306c8-e5d4-5b6e-a73d-afead1345cc6,birthday,action_2,high,posterior,82
308306c8-e5d4-5b6e-a73d-afead1345cc6,birthday,action_2,high,prior,64
308306c8-e5d4-5b6e-a73d-afead1345cc6,brunch,action_2,low,posterior,88
308306c8-e5d4-5b6e-a73d-afead1345cc6,brunch,action_2,low,prior,68
308306c8-e5d4-5b6e-a73d-afead1345cc6,cooking,action_2,high,posterior,65
308306c8-e5d4-5b6e-a73d-afead1345cc6,cooking,action_2,high,prior,65
308306c8-e5d4-5b6e-a73d-afead1345cc6,dip,action_1,high,posterior,50
308306c8-e5d4-5b6e-a73d-afead1345cc6,dip,action_1,high,prior,71
308306c8-e5d4-5b6e-a73d-afead1345cc6,drinks,action_2,high,posterior,99
308306c8-e5d4-5b6e-a73d-afead1345cc6,drinks,action_2,high,prior,50
308306c8-e5d4-5b6e-a73d-afead1345cc6,driving,action_1,low,posterior,67
308306c8-e5d4-5b6e-a73d-afead1345cc6,driving,action_1,low,prior,67
308306c8-e5d4-5b6e-a73d-afead1345cc6,fair,action_1,low,posterior,50
308306c8-e5d4-5b6e-a73d-afead1345cc6,fair,action_1,low,prior,50
308306c8-e5d4-5b6e-a73d-afead1345cc6,gala,action_2,low,posterior,68
308306c8-e5d4-5b6e-a73d-afead1345cc6,gala,action_2,low,prior,67
308306c8-e5d4-5b6e-a73d-afead1345cc6,hike,action_2,high,posterior,70
308306c8-e5d4-5b6e-a73d-afead1345cc6,hike,action_2,high,prior,27
308306c8-e5d4-5b6e-a73d-afead1345cc6,oysters,action_1,high,posterior,28
308306c8-e5d4-5b6e-a73d-afead1345cc6,oysters,action_1,high,prior,50
308306c8-e5d4-5b6e-a73d-afead1345cc6,social,action_2,low,posterior,99
308306c8-e5d4-5b6e-a73d-afead1345cc6,social,action_2,low,prior,68
308306c8-e5d4-5b6e-a73d-afead1345cc6,soup,action_1,low,posterior,50
308306c8-e5d4-5b6e-a73d-afead1345cc6,soup,action_1,low,prior,50
308306c8-e5d4-5b6e-a73d-afead1345cc6,takeout,action_2,low,posterior,67
308306c8-e5d4-5b6e-a73d-afead1345cc6,takeout,action_2,low,prior,30
308306c8-e5d4-5b6e-a73d-afead1345cc6,wedding,action_1,high,posterior,50
308306c8-e5d4-5b6e-a73d-afead1345cc6,wedding,action_1,high,prior,60
46911f92-3bda-5bd3-972e-e6cd1539b8ce,apples,action_1,low,posterior,61
46911f92-3bda-5bd3-972e-e6cd1539b8ce,apples,action_1,low,prior,74
46911f92-3bda-5bd3-972e-e6cd1539b8ce,basketball,action_1,high,posterior,54
46911f92-3bda-5bd3-972e-e6cd1539b8ce,basketball,action_1,high,prior,51
46911f92-3bda-5bd3-972e-e6cd1539b8ce,birthday,action_2,low,posterior,91
46911f92-3bda-5bd3-972e-e6cd1539b8ce,birthday,action_2,low,prior,82
46911f92-3bda-5bd3-972e-e6cd1539b8ce,brunch,action_1,low,posterior,51
46911f92-3bda-5bd3-972e-e6cd1539b8ce,brunch,action_1,low,prior,59
46911f92-3bda-5bd3-972e-e6cd1539b8ce,cooking,action_2,high,posterior,58
46911f92-3bda-5bd3-972e-e6cd1539b8ce,cooking,action_2,high,prior,64
46911f92-3bda-5bd3-972e-e6cd1539b8ce,dip,action_1,low,posterior,53
46911f92-3bda-5bd3-972e-e6cd1539b8ce,dip,action_1,low,prior,59
46911f92-3bda-5bd3-972e-e6cd1539b8ce,drinks,action_1,high,posterior,68
46911f92-3bda-5bd3-972e-e6cd1539b8ce,drinks,action_1,high,prior,75
46911f92-3bda-5bd3-972e-e6cd1539b8ce,driving,action_1,high,posterior,83
46911f92-3bda-5bd3-972e-e6cd1539b8ce,driving,action_1,high,prior,97
46911f92-3bda-5bd3-972e-e6cd1539b8ce,fair,action_1,high,posterior,60
46911f92-3bda-5bd3-972e-e6cd1539b8ce,fair,action_1,high,prior,64
46911f92-3bda-5bd3-972e-e6cd1539b8ce,gala,action_1,low,posterior,85
46911f92-3bda-5bd3-972e-e6cd1539b8ce,gala,action_1,low,prior,65
46911f92-3bda-5bd3-972e-e6cd1539b8ce,hike,action_2,low,posterior,93
46911f92-3bda-5bd3-972e-e6cd1539b8ce,hike,action_2,low,prior,84
46911f92-3bda-5bd3-972e-e6cd1539b8ce,oysters,action_2,low,posterior,96
46911f92-3bda-5bd3-972e-e6cd1539b8ce,oysters,action_2,low,prior,79
46911f92-3bda-5bd3-972e-e6cd1539b8ce,social,action_2,high,posterior,97
46911f92-3bda-5bd3-972e-e6cd1539b8ce,social,action_2,high,prior,71
