scenario_label,action,risk_raw,risk_raw_std,effort_raw,effort_raw_std,reward_raw,reward_raw_std,risk,effort,reward,n_valid_runs
basketball,0,0.0,0.0,0.0,0.0,4.32,0.23999999999999988,0.0,0.0,1.22,10
basketball,1,0.0,0.0,4.5,0.0,4.32,0.23999999999999988,0.0,0.75,1.22,10
basketball,2,5.55,0.15,5.08,0.23999999999999994,4.32,0.23999999999999988,1.8499999999999999,0.8466666666666667,1.22,10
basketball,3,6.0,0.0,5.4799999999999995,0.18330302779823357,4.32,0.23999999999999988,2.0,0.9133333333333332,1.22,10
birthday,0,0.0,0.0,0.0,0.0,5.200000000000001,8.881784197001252e-16,0.0,0.0,1.3666666666666667,10
birthday,1,0.0,0.0,4.5,0.0,5.200000000000001,8.881784197001252e-16,0.0,0.75,1.3666666666666667,10
birthday,2,2.5,0.0,3.7999999999999994,4.440892098500626e-16,5.200000000000001,8.881784197001252e-16,0.8333333333333333,0.6333333333333332,1.3666666666666667,10
birthday,3,5.799999999999999,8.881784197001252e-16,4.200000000000001,8.881784197001252e-16,5.200000000000001,8.881784197001252e-16,1.933333333333333,0.7000000000000002,1.3666666666666667,10
brunch,0,0.0,0.0,1.6700000000000004,0.39,5.200000000000001,8.881784197001252e-16,0.0,0.2783333333333334,1.3666666666666667,10
brunch,1,0.0,0.0,4.529999999999999,0.08999999999999996,5.200000000000001,8.881784197001252e-16,0.0,0.7549999999999999,1.3666666666666667,10
brunch,2,0.5,0.0,2.77,0.08999999999999994,5.200000000000001,8.881784197001252e-16,0.16666666666666666,0.46166666666666667,1.3666666666666667,10
brunch,3,4.32,0.23999999999999988,1.9600000000000002,0.3979949748426481,5.200000000000001,8.881784197001252e-16,1.44,0.32666666666666666,1.3666666666666667,10
takeout,0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.9666666666666666,10
takeout,1,0.41,0.1374772708486752,2.5,0.0,2.8,0.0,0.13666666666666666,0.41666666666666663,0.9666666666666666,10
takeout,2,4.32,0.19899748742132387,1.8,0.0,2.8,0.0,1.44,0.3,0.9666666666666666,10
takeout,3,6.0,0.0,5.290000000000001,0.13747727084867511,2.8,0.0,2.0,0.8816666666666668,0.9666666666666666,10
cooking,0,0.0,0.0,0.0,0.0,5.44,0.2939387691339812,0.0,0.0,1.4066666666666667,10
cooking,1,1.5,0.0,2.5,0.0,5.44,0.2939387691339812,0.5,0.41666666666666663,1.4066666666666667,10
cooking,2,2.94,0.4200000000000001,1.86,0.09165151389911678,5.44,0.2939387691339812,0.98,0.31,1.4066666666666667,10
cooking,3,5.799999999999999,8.881784197001252e-16,4.300000000000001,0.2569046515733025,5.44,0.2939387691339812,1.933333333333333,0.7166666666666668,1.4066666666666667,10
apples,0,0.0,0.0,0.0,0.0,5.200000000000001,8.881784197001252e-16,0.0,0.0,1.3666666666666667,10
apples,1,2.0,0.0,3.07,0.8741281370600079,5.200000000000001,8.881784197001252e-16,0.6666666666666666,0.5116666666666666,1.3666666666666667,10
