subject_id,scenario_label,closeness_condition,action_0,action_1,action_2,action_3
4e70ab6c-08df-50a1-bce0-6269c2996b70,crabs,close,2,5,2,3
4e70ab6c-08df-50a1-bce0-6269c2996b70,cooking,somewhat_close,1,4,2,3
4e70ab6c-08df-50a1-bce0-6269c2996b70,social,not_close,3,1,2,0
4e70ab6c-08df-50a1-bce0-6269c2996b70,driving,close,4,4,4,5
4e70ab6c-08df-50a1-bce0-6269c2996b70,fair,extremely_close,6,6,5,5
4e70ab6c-08df-50a1-bce0-6269c2996b70,gala,extremely_close,0,6,6,5
4e70ab6c-08df-50a1-bce0-6269c2996b70,hike,extremely_close,4,4,4,4
4e70ab6c-08df-50a1-bce0-6269c2996b70,birthday,somewhat_close,3,5,5,3
4e70ab6c-08df-50a1-bce0-6269c2996b70,brunch,somewhat_close,4,5,2,4
4e70ab6c-08df-50a1-bce0-6269c2996b70,wedding,not_close,5,2,1,0
4e70ab6c-08df-50a1-bce0-6269c2996b70,soup,not_close,6,2,1,0
4e70ab6c-08df-50a1-bce0-6269c2996b70,dip,close,4,3,3,1
4e70ab6c-08df-50a1-bce0-6269c2996b70,basketball,not_close,5,3,0,0
4e70ab6c-08df-50a1-bce0-6269c2996b70,oysters,extremely_close,0,5,3,5
4e70ab6c-08df-50a1-bce0-6269c2996b70,drinks,close,4,5,4,2
4e70ab6c-08df-50a1-bce0-6269c2996b70,conference,somewhat_close,4,5,0,0
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,gala,extremely_close,5,5,1,0
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,crabs,not_close,2,4,0,1
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,wedding,not_close,4,5,1,1
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,oysters,close,0,5,4,2
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,hike,extremely_close,6,2,4,4
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,basketball,close,0,5,4,4
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,conference,not_close,4,2,5,0
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,brunch,extremely_close,4,4,4,3
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,social,extremely_close,4,3,1,1
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,driving,somewhat_close,4,4,4,4
407d1fea-b1a2-5af8-b2f1-b3c7f99a191f,birthday,close,1,5,5,4
