scenario_label,observed_action,effort_condition,intimacy_condition,alt_idx,motivation_query,v_raw,v_raw_std,v,n_runs,n_failures
basketball,action_0,low,50,0,low,0.0,0.0,0.0,10,0
basketball,action_0,low,50,0,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_0,low,50,1,low,0.0,0.0,0.0,10,0
basketball,action_0,low,50,1,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_0,low,50,2,low,0.0,0.0,0.0,10,0
basketball,action_0,low,50,2,high,2.1,0.3,0.7000000000000001,10,0
basketball,action_0,low,0,0,low,0.0,0.0,0.0,10,0
basketball,action_0,low,0,0,high,-2.35,1.3425721582097552,-0.7833333333333333,10,0
basketball,action_0,low,0,1,low,0.0,0.0,0.0,10,0
basketball,action_0,low,0,1,high,-2.35,1.3425721582097552,-0.7833333333333333,10,0
basketball,action_0,low,0,2,low,0.0,0.0,0.0,10,0
basketball,action_0,low,0,2,high,2.1,0.3,0.7000000000000001,10,0
basketball,action_0,high,50,0,low,0.0,0.0,0.0,10,0
basketball,action_0,high,50,0,high,-2.35,1.3425721582097552,-0.7833333333333333,10,0
basketball,action_0,high,50,1,low,0.0,0.0,0.0,10,0
basketball,action_0,high,50,1,high,-2.35,1.3425721582097552,-0.7833333333333333,10,0
basketball,action_0,high,50,2,low,0.0,0.0,0.0,10,0
basketball,action_0,high,50,2,high,2.1,0.3,0.7000000000000001,10,0
basketball,action_0,high,50,3,low,-0.8,0.4,-0.26666666666666666,10,0
basketball,action_0,high,50,3,high,0.0,0.0,0.0,10,0
basketball,action_0,high,75,0,low,0.0,0.0,0.0,10,0
basketball,action_0,high,75,0,high,-2.35,1.3425721582097552,-0.7833333333333333,10,0
basketball,action_0,high,75,1,low,0.0,0.0,0.0,10,0
basketball,action_0,high,75,1,high,-2.35,1.3425721582097552,-0.7833333333333333,10,0
basketball,action_0,high,75,2,low,0.0,0.0,0.0,10,0
basketball,action_0,high,75,2,high,2.1,0.3,0.7000000000000001,10,0
basketball,action_0,high,75,3,low,-0.8,0.4,-0.26666666666666666,10,0
basketball,action_0,high,75,3,high,0.0,0.0,0.0,10,0
basketball,action_0,high,100,0,low,0.0,0.0,0.0,10,0
basketball,action_0,high,100,0,high,-2.35,1.3425721582097552,-0.7833333333333333,10,0
basketball,action_0,high,100,1,low,0.0,0.0,0.0,10,0
basketball,action_0,high,100,1,high,-2.35,1.3425721582097552,-0.7833333333333333,10,0
basketball,action_0,high,100,2,low,0.0,0.0,0.0,10,0
basketball,action_0,high,100,2,high,2.1,0.3,0.7000000000000001,10,0
basketball,action_0,high,100,3,low,-0.8,0.4,-0.26666666666666666,10,0
basketball,action_0,high,100,3,high,0.0,0.0,0.0,10,0
basketball,action_1,low,0,0,low,0.0,0.0,0.0,10,0
basketball,action_1,low,0,0,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_1,low,0,1,low,0.0,0.0,0.0,10,0
basketball,action_1,low,0,1,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_1,low,0,2,low,0.0,0.0,0.0,10,0
basketball,action_1,low,0,2,high,-3.0,0.0,-1.0,10,0
basketball,action_1,low,0,3,low,0.0,0.0,0.0,10,0
basketball,action_1,low,0,3,high,1.1,0.3,0.3666666666666667,10,0
basketball,action_0,high,0,0,low,0.0,0.0,0.0,10,0
basketball,action_0,high,0,0,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_0,high,0,1,low,0.0,0.0,0.0,10,0
basketball,action_0,high,0,1,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_0,high,0,2,low,0.0,0.0,0.0,10,0
basketball,action_0,high,0,2,high,2.1,0.3,0.7000000000000001,10,0
basketball,action_0,high,0,3,low,-0.8,0.4,-0.26666666666666666,10,0
basketball,action_0,high,0,3,high,0.0,0.0,0.0,10,0
basketball,action_0,low,75,0,low,0.0,0.0,0.0,10,0
basketball,action_0,low,75,0,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_0,low,75,1,low,0.0,0.0,0.0,10,0
basketball,action_0,low,75,1,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_0,low,75,2,low,0.0,0.0,0.0,10,0
basketball,action_0,low,75,2,high,2.1,0.3,0.7000000000000001,10,0
basketball,action_1,low,100,0,low,0.0,0.0,0.0,10,0
basketball,action_1,low,100,0,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_1,low,100,1,low,0.0,0.0,0.0,10,0
basketball,action_1,low,100,1,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_1,low,100,2,low,0.0,0.0,0.0,10,0
basketball,action_1,low,100,2,high,-3.0,0.0,-1.0,10,0
basketball,action_1,low,100,3,low,0.0,0.0,0.0,10,0
basketball,action_1,low,100,3,high,-0.3,0.45825756949558394,-0.09999999999999999,10,0
basketball,action_1,low,50,0,low,0.0,0.0,0.0,10,0
basketball,action_1,low,50,0,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_1,low,50,1,low,0.0,0.0,0.0,10,0
basketball,action_1,low,50,1,high,1.0,0.0,0.3333333333333333,10,0
basketball,action_1,low,50,2,low,0.0,0.0,0.0,10,0
basketball,action_1,low,50,2,high,-0.3,0.45825756949558394,-0.09999999999999999,10,0
basketball,action_1,low,50,3,low,0.0,0.0,0.0,10,0
basketball,action_1,low,50,3,high,0.15,0.45000000000000007,0.049999999999999996,10,0
basketball,action_1,high,50,0,low,0.0,0.0,0.0,10,0
basketball,action_1,high,50,0,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_1,high,50,1,low,0.0,0.0,0.0,10,0
basketball,action_1,high,50,1,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_1,high,50,2,low,0.0,0.0,0.0,10,0
basketball,action_1,high,50,2,high,-3.0,0.0,-1.0,10,0
basketball,action_1,high,50,3,low,0.0,0.0,0.0,10,0
basketball,action_1,high,50,3,high,-0.3,0.45825756949558394,-0.09999999999999999,10,0
basketball,action_0,low,100,0,low,0.0,0.0,0.0,10,0
basketball,action_0,low,100,0,high,-2.35,1.3425721582097552,-0.7833333333333333,10,0
basketball,action_0,low,100,1,low,0.0,0.0,0.0,10,0
basketball,action_0,low,100,1,high,-2.35,1.3425721582097552,-0.7833333333333333,10,0
basketball,action_0,low,100,2,low,0.0,0.0,0.0,10,0
basketball,action_0,low,100,2,high,2.1,0.3,0.7000000000000001,10,0
basketball,action_0,low,100,3,low,0.0,0.0,0.0,10,0
basketball,action_0,low,100,3,high,2.1,0.3,0.7000000000000001,10,0
basketball,action_1,high,100,0,low,0.0,0.0,0.0,10,0
basketball,action_1,high,100,0,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_1,high,100,1,low,0.0,0.0,0.0,10,0
basketball,action_1,high,100,1,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_1,high,100,2,low,0.0,0.0,0.0,10,0
basketball,action_1,high,100,2,high,-3.0,0.0,-1.0,10,0
basketball,action_1,high,100,3,low,0.0,0.0,0.0,10,0
basketball,action_1,high,100,3,high,-0.3,0.45825756949558394,-0.09999999999999999,10,0
basketball,action_2,low,0,0,low,0.0,0.0,0.0,10,0
basketball,action_2,low,0,0,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_2,low,0,1,low,0.0,0.0,0.0,10,0
basketball,action_2,low,0,1,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_2,low,0,2,low,0.0,0.0,0.0,10,0
basketball,action_2,low,0,2,high,1.0,0.0,0.3333333333333333,10,0
basketball,action_2,low,0,3,low,0.0,0.0,0.0,10,0
basketball,action_2,low,0,3,high,2.1,0.3,0.7000000000000001,10,0
basketball,action_1,low,75,0,low,0.0,0.0,0.0,10,0
basketball,action_1,low,75,0,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_1,low,75,1,low,0.0,0.0,0.0,10,0
basketball,action_1,low,75,1,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_1,low,75,2,low,0.0,0.0,0.0,10,0
basketball,action_1,low,75,2,high,-3.0,0.0,-1.0,10,0
basketball,action_1,low,75,3,low,0.0,0.0,0.0,10,0
basketball,action_1,low,75,3,high,-0.3,0.45825756949558394,-0.09999999999999999,10,0
basketball,action_2,low,50,0,low,0.0,0.0,0.0,10,0
basketball,action_2,low,50,0,high,-2.2,1.7776388834631178,-0.7333333333333334,10,0
basketball,action_2,low,50,1,low,0.0,0.0,0.0,10,0
