scenario_label,observed_action,motivation,alt_idx,motivation_query,v_raw,v_raw_std,v,n_runs
apples,action_0,low,0,low,1.6,0.8,0.5333333333333333,10
apples,action_0,low,0,high,-0.9,0.30000000000000004,-0.3,10
apples,action_0,low,1,low,-0.2,0.4000000000000001,-0.06666666666666667,10
apples,action_0,low,1,high,2.0,0.0,0.6666666666666666,10
apples,action_0,low,2,low,0.0,0.0,0.0,10
apples,action_0,low,2,high,-0.1,0.30000000000000004,-0.03333333333333333,10
apples,action_0,low,3,low,0.0,0.0,0.0,10
apples,action_0,low,3,high,-2.0,0.0,-0.6666666666666666,10
apples,action_0,low,4,low,1.8,0.4,0.6,10
apples,action_0,low,4,high,-1.7,0.45825756949558394,-0.5666666666666667,10
apples,action_0,low,5,low,1.0,0.6324555320336759,0.3333333333333333,10
apples,action_0,low,5,high,-2.7,0.45825756949558405,-0.9,10
apples,action_0,low,6,low,-0.2,0.4000000000000001,-0.06666666666666667,10
apples,action_0,low,6,high,3.0,0.0,1.0,10
apples,action_0,low,7,low,-0.2,0.4000000000000001,-0.06666666666666667,10
apples,action_0,low,7,high,2.0,0.0,0.6666666666666666,10
apples,action_0,low,8,low,-0.6,0.48989794855663565,-0.19999999999999998,10
apples,action_0,low,8,high,-3.0,0.0,-1.0,10
apples,action_0,high,0,low,-0.7,0.45825756949558394,-0.2333333333333333,10
apples,action_0,high,0,high,3.0,0.0,1.0,10
apples,action_0,high,1,low,-1.0,0.0,-0.3333333333333333,10
apples,action_0,high,1,high,-0.8,0.4,-0.26666666666666666,10
apples,action_0,high,2,low,-0.2,0.4000000000000001,-0.06666666666666667,10
apples,action_0,high,2,high,2.0,0.0,0.6666666666666666,10
apples,action_0,high,3,low,-0.1,0.30000000000000004,-0.03333333333333333,10
apples,action_0,high,3,high,3.0,0.0,1.0,10
apples,action_0,high,4,low,0.0,0.0,0.0,10
apples,action_0,high,4,high,-0.1,0.30000000000000004,-0.03333333333333333,10
apples,action_0,high,5,low,-0.1,0.30000000000000004,-0.03333333333333333,10
apples,action_0,high,5,high,3.0,0.0,1.0,10
apples,action_0,high,6,low,1.2,0.4,0.39999999999999997,10
apples,action_0,high,6,high,-2.7,0.45825756949558405,-0.9,10
apples,action_0,high,7,low,0.5,0.5,0.16666666666666666,10
apples,action_0,high,7,high,1.0,0.0,0.3333333333333333,10
apples,action_1,low,0,low,-0.9,0.3,-0.3,10
apples,action_1,low,0,high,-3.0,0.0,-1.0,10
apples,action_1,low,1,low,-0.7,0.45825756949558394,-0.2333333333333333,10
apples,action_1,low,1,high,3.0,0.0,1.0,10
apples,action_1,low,2,low,0.2,0.6000000000000001,0.06666666666666667,10
apples,action_1,low,2,high,-2.9,0.3,-0.9666666666666667,10
apples,action_1,low,3,low,1.5,0.806225774829855,0.5,10
apples,action_1,low,3,high,2.1,0.3,0.7000000000000001,10
apples,action_1,low,4,low,-0.6,0.48989794855663565,-0.19999999999999998,10
apples,action_1,low,4,high,-1.3,0.45825756949558394,-0.43333333333333335,10
apples,action_1,low,5,low,-1.0,0.0,-0.3333333333333333,10
apples,action_1,low,5,high,3.0,0.0,1.0,10
apples,action_1,low,6,low,-0.2,0.4000000000000001,-0.06666666666666667,10
apples,action_1,low,6,high,3.0,0.0,1.0,10
apples,action_1,low,7,low,1.8,0.4,0.6,10
apples,action_1,low,7,high,2.0,0.0,0.6666666666666666,10
apples,action_1,low,8,low,0.8,0.4,0.26666666666666666,10
apples,action_1,low,8,high,-0.8,0.4,-0.26666666666666666,10
apples,action_1,high,0,low,-0.9,0.3,-0.3,10
apples,action_1,high,0,high,-3.0,0.0,-1.0,10
apples,action_1,high,1,low,-0.7,0.45825756949558394,-0.2333333333333333,10
apples,action_1,high,1,high,3.0,0.0,1.0,10
apples,action_1,high,2,low,-0.7,0.45825756949558394,-0.2333333333333333,10
apples,action_1,high,2,high,3.0,0.0,1.0,10
apples,action_1,high,3,low,0.0,0.0,0.0,10
apples,action_1,high,3,high,-0.4,0.4898979485566356,-0.13333333333333333,10
apples,action_1,high,4,low,0.0,0.0,0.0,10
apples,action_1,high,4,high,-1.9,0.3,-0.6333333333333333,10
apples,action_1,high,5,low,-0.2,0.4000000000000001,-0.06666666666666667,10
apples,action_1,high,5,high,3.0,0.0,1.0,10
apples,action_1,high,6,low,-0.2,0.4000000000000001,-0.06666666666666667,10
apples,action_1,high,6,high,2.0,0.0,0.6666666666666666,10
apples,action_1,high,7,low,0.5,0.5,0.16666666666666666,10
apples,action_1,high,7,high,1.0,0.0,0.3333333333333333,10
apples,action_1,high,8,low,-0.2,0.4000000000000001,-0.06666666666666667,10
apples,action_1,high,8,high,2.0,0.0,0.6666666666666666,10
apples,action_2,low,0,low,-0.9,0.3,-0.3,10
apples,action_2,low,0,high,-3.0,0.0,-1.0,10
apples,action_2,low,1,low,-0.9,0.30000000000000004,-0.3,10
apples,action_2,low,1,high,-0.8,0.4,-0.26666666666666666,10
apples,action_2,low,2,low,0.3,0.45825756949558394,0.09999999999999999,10
apples,action_2,low,2,high,2.1,0.3,0.7000000000000001,10
apples,action_2,low,3,low,0.3,0.6403124237432849,0.09999999999999999,10
apples,action_2,low,3,high,-3.0,0.0,-1.0,10
apples,action_2,low,4,low,0.0,0.0,0.0,10
apples,action_2,low,4,high,-0.4,0.4898979485566356,-0.13333333333333333,10
apples,action_2,low,5,low,-0.6,0.48989794855663565,-0.19999999999999998,10
apples,action_2,low,5,high,-1.3,0.45825756949558394,-0.43333333333333335,10
apples,action_2,low,6,low,-0.2,0.4000000000000001,-0.06666666666666667,10
apples,action_2,low,6,high,3.0,0.0,1.0,10
apples,action_2,low,7,low,1.8,0.4,0.6,10
apples,action_2,low,7,high,2.0,0.0,0.6666666666666666,10
apples,action_2,low,8,low,-0.2,0.4000000000000001,-0.06666666666666667,10
apples,action_2,low,8,high,2.0,0.0,0.6666666666666666,10
apples,action_2,high,0,low,-0.9,0.3,-0.3,10
apples,action_2,high,0,high,-3.0,0.0,-1.0,10
apples,action_2,high,1,low,-0.7,0.45825756949558394,-0.2333333333333333,10
apples,action_2,high,1,high,3.0,0.0,1.0,10
apples,action_2,high,2,low,-0.9,0.30000000000000004,-0.3,10
apples,action_2,high,2,high,1.0,0.6324555320336759,0.3333333333333333,10
apples,action_2,high,3,low,0.1,0.30000000000000004,0.03333333333333333,10
apples,action_2,high,3,high,-3.0,0.0,-1.0,10
apples,action_2,high,4,low,-0.2,0.4000000000000001,-0.06666666666666667,10
apples,action_2,high,4,high,3.0,0.0,1.0,10
apples,action_2,high,5,low,-0.6,0.66332495807108,-0.19999999999999998,10
apples,action_2,high,5,high,2.0,0.0,0.6666666666666666,10
apples,action_2,high,6,low,1.8,0.4,0.6,10
apples,action_2,high,6,high,2.0,0.0,0.6666666666666666,10
apples,action_2,high,7,low,1.2,0.4,0.39999999999999997,10
apples,action_2,high,7,high,2.5,0.5,0.8333333333333334,10
apples,action_2,high,8,low,-1.0,0.0,-0.3333333333333333,10
apples,action_2,high,8,high,3.0,0.0,1.0,10
apples,action_3,low,0,low,-0.9,0.3,-0.3,10
apples,action_3,low,0,high,-3.0,0.0,-1.0,10
apples,action_3,low,1,low,-0.7,0.45825756949558394,-0.2333333333333333,10
apples,action_3,low,1,high,3.0,0.0,1.0,10
apples,action_3,low,2,low,1.5,0.806225774829855,0.5,10
apples,action_3,low,2,high,2.1,0.3,0.7000000000000001,10
apples,action_3,low,3,low,0.3,0.6403124237432849,0.09999999999999999,10
apples,action_3,low,3,high,-3.0,0.0,-1.0,10
apples,action_3,low,4,low,-1.0,0.0,-0.3333333333333333,10
apples,action_3,low,4,high,3.0,0.0,1.0,10
apples,action_3,low,5,low,1.5,0.5,0.5,10
apples,action_3,low,5,high,-0.4,0.4898979485566356,-0.13333333333333333,10
apples,action_3,low,6,low,-0.2,0.4000000000000001,-0.06666666666666667,10
apples,action_3,low,6,high,3.0,0.0,1.0,10
