scenario_label,action,access_raw,access_raw_std,access,n_runs_access
basketball,1,0.64,0.27999999999999997,0.21333333333333332,10
basketball,2,5.799999999999999,8.881784197001252e-16,1.933333333333333,10
birthday,1,0.5,0.0,0.16666666666666666,10
birthday,2,5.319999999999999,0.23999999999999985,1.773333333333333,10
brunch,1,0.5,0.0,0.16666666666666666,10
brunch,2,2.8,0.9165151389911681,0.9333333333333332,10
takeout,1,0.0,0.0,0.0,10
takeout,2,6.0,0.0,2.0,10
cooking,1,0.47000000000000003,0.09,0.15666666666666668,10
cooking,2,4.730000000000001,0.47759815745038214,1.576666666666667,10
apples,1,0.0,0.0,0.0,10
apples,2,5.5,0.0,1.8333333333333333,10
dip,1,0.0,0.0,0.0,10
dip,2,5.5,0.0,1.8333333333333333,10
drinks,1,0.26000000000000006,0.12000000000000001,0.08666666666666668,10
drinks,2,5.769999999999999,0.08999999999999994,1.923333333333333,10
driving,1,0.1,0.20000000000000004,0.03333333333333333,10
driving,2,5.529999999999999,0.08999999999999996,1.843333333333333,10
fair,1,0.5,0.0,0.16666666666666666,10
fair,2,5.799999999999999,8.881784197001252e-16,1.933333333333333,10
gala,1,1.0599999999999998,0.27999999999999997,0.3533333333333333,10
gala,2,5.839999999999999,0.08000000000000007,1.9466666666666663,10
hike,1,2.5,0.0,0.8333333333333333,10
hike,2,5.799999999999999,8.881784197001252e-16,1.933333333333333,10
oysters,1,0.5,0.0,0.16666666666666666,10
oysters,2,5.799999999999999,8.881784197001252e-16,1.933333333333333,10
social,1,2.06,1.1825396399275587,0.6866666666666666,10
social,2,5.8199999999999985,0.06000000000000006,1.9399999999999995,10
soup,1,0.9899999999999999,0.32078029864690877,0.32999999999999996,10
soup,2,5.68,0.1469693845669906,1.893333333333333,10
wedding,1,0.7100000000000001,0.32078029864690877,0.2366666666666667,10
wedding,2,5.799999999999999,8.881784197001252e-16,1.933333333333333,10
