scenario_label,effort_condition,action,new_access_raw,new_access_raw_std,new_access,new_n_runs,new_n_failures,old_access_raw,old_access_raw_std,old_access,delta_access_raw
basketball,low,0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0
basketball,low,1,1.1,0.3741657386773941,0.3666666666666667,5,0,1.5,0.0,0.5,-0.3999999999999999
basketball,low,2,5.62,0.1469693845669906,1.8733333333333333,5,0,5.799999999999999,8.881784197001252e-16,1.933333333333333,-0.17999999999999883
basketball,high,0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0
basketball,high,1,0.0,0.0,0.0,5,0,0.4,0.4898979485566356,0.1333333333333333,-0.4
basketball,high,2,6.0,0.0,2.0,5,0,5.5,0.0,1.8333333333333333,0.5
drinks,low,0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0
drinks,low,1,1.5,0.0,0.5,5,0,1.5,0.0,0.5,0.0
drinks,low,2,6.0,0.0,2.0,5,0,5.87,0.1552417469626002,1.9566666666666663,0.1299999999999999
drinks,high,0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0
drinks,high,1,1.44,0.12000000000000002,0.48,5,0,2.5,0.0,0.8333333333333333,-1.06
drinks,high,2,5.5600000000000005,0.11999999999999994,1.8533333333333335,5,0,5.839999999999999,0.08,1.9466666666666663,-0.2799999999999985
wedding,low,0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0
wedding,low,1,1.4,0.19999999999999998,0.4666666666666666,5,0,2.5,0.0,0.8333333333333333,-1.1
wedding,low,2,5.5,0.0,1.8333333333333333,5,0,5.799999999999999,8.881784197001252e-16,1.933333333333333,-0.29999999999999893
wedding,high,0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,0.0
wedding,high,1,0.1,0.2,0.03333333333333333,5,0,1.9,0.4898979485566356,0.6333333333333333,-1.7999999999999998
wedding,high,2,5.96,0.08000000000000007,1.9866666666666666,5,0,5.799999999999999,8.881784197001252e-16,1.933333333333333,0.16000000000000103
