scenario_label,effort_condition,action,access_raw,access_raw_std,effort_raw,effort_raw_std,access,effort,n_runs_access,n_runs_effort
basketball,low,1,0.5,0.0,2.5,0.0,0.16666666666666666,0.41666666666666663,10,10
basketball,low,2,6.0,0.0,0.5,0.0,2.0,0.08333333333333333,10,10
basketball,high,1,0.0,0.0,5.769999999999999,0.08999999999999994,0.0,0.9616666666666664,10,10
basketball,high,2,6.0,0.0,0.23000000000000004,0.09,2.0,0.03833333333333334,10,10
birthday,low,1,0.5,0.0,2.5,0.0,0.16666666666666666,0.41666666666666663,10,10
birthday,low,2,5.709999999999999,0.13747727084867511,0.8,0.0,1.9033333333333329,0.13333333333333333,10,10
birthday,high,1,0.45,0.15000000000000002,4.5,0.0,0.15,0.75,10,10
birthday,high,2,5.58,0.16613247725836147,1.0,0.0,1.8599999999999999,0.16666666666666666,10,10
brunch,low,1,0.21999999999999997,0.16,2.5,0.0,0.07333333333333332,0.41666666666666663,10,10
brunch,low,2,4.14,0.5817215828899596,0.5,0.0,1.38,0.08333333333333333,10,10
brunch,high,1,0.35,0.15,4.32,0.1469693845669906,0.11666666666666665,0.72,10,10
brunch,high,2,4.35,0.1499999999999999,1.8,0.0,1.4499999999999997,0.3,10,10
takeout,low,1,0.0,0.0,1.7,0.4,0.0,0.2833333333333333,10,10
takeout,low,2,6.0,0.0,0.45,0.15000000000000002,2.0,0.075,10,10
takeout,high,1,0.0,0.0,4.5,0.0,0.0,0.75,10,10
takeout,high,2,6.0,0.0,0.5,0.0,2.0,0.08333333333333333,10,10
cooking,low,1,0.0,0.0,2.5,0.0,0.0,0.41666666666666663,10,10
cooking,low,2,6.0,0.0,1.6199999999999999,0.27495454169735045,2.0,0.26999999999999996,10,10
cooking,high,1,0.0,0.0,4.799999999999999,8.881784197001252e-16,0.0,0.7999999999999998,10,10
cooking,high,2,6.0,0.0,1.56,0.18000000000000002,2.0,0.26,10,10
apples,low,1,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,10,10
apples,low,2,6.0,0.0,1.1999999999999997,2.220446049250313e-16,2.0,0.19999999999999996,10,10
apples,high,1,0.0,0.0,5.799999999999999,8.881784197001252e-16,0.0,0.9666666666666665,10,10
