scenario_label,observed_action,motivation,alt_idx,access_raw,access_raw_std,effort_raw,effort_raw_std,access,effort,n_runs_access,n_runs_effort
apples,action_0,low,0,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,9,10
apples,action_0,low,1,3.0,0.0,2.5,0.0,1.0,0.41666666666666663,9,10
apples,action_0,low,2,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,9,10
apples,action_0,low,3,6.0,0.0,0.6,0.2,2.0,0.09999999999999999,9,10
apples,action_0,low,4,6.0,0.0,2.0,0.0,2.0,0.3333333333333333,9,10
apples,action_0,low,5,0.0,0.0,1.65,0.22912878474779202,0.0,0.27499999999999997,9,10
apples,action_0,low,6,6.0,0.0,4.0,0.0,2.0,0.6666666666666666,9,10
apples,action_0,low,7,0.0,0.0,1.2,0.4,0.0,0.19999999999999998,9,10
apples,action_0,high,0,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,9,10
apples,action_0,high,1,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,9,10
apples,action_0,high,2,3.0,0.0,2.5,0.0,1.0,0.41666666666666663,9,10
apples,action_0,high,3,6.0,0.0,0.6,0.2,2.0,0.09999999999999999,9,10
apples,action_0,high,4,0.0,0.0,0.0,0.0,0.0,0.0,9,10
apples,action_0,high,5,0.0,0.0,2.0,0.0,0.0,0.3333333333333333,9,10
apples,action_0,high,6,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,9,10
apples,action_0,high,7,3.0,0.0,2.0,0.0,1.0,0.3333333333333333,9,10
apples,action_0,high,8,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,9,10
apples,action_1,low,0,0.0,0.0,0.0,0.0,0.0,0.0,9,10
apples,action_1,low,1,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,9,10
apples,action_1,low,2,3.0,0.0,2.5,0.0,1.0,0.41666666666666663,9,10
apples,action_1,low,3,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,9,10
apples,action_1,low,4,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,9,10
apples,action_1,low,5,6.0,0.0,1.1,0.19999999999999998,2.0,0.18333333333333335,9,10
apples,action_1,low,6,0.0,0.0,0.0,0.0,0.0,0.0,9,10
apples,action_1,low,7,3.0,0.0,3.5,0.0,1.0,0.5833333333333333,9,10
apples,action_1,low,8,6.0,0.0,4.0,0.0,2.0,0.6666666666666666,9,10
apples,action_1,high,0,0.0,0.0,0.05,0.15000000000000002,0.0,0.008333333333333333,9,10
apples,action_1,high,1,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,9,10
apples,action_1,high,2,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,9,10
apples,action_1,high,3,3.0,0.0,2.5,0.0,1.0,0.41666666666666663,9,10
apples,action_1,high,4,6.0,0.0,1.1,0.19999999999999998,2.0,0.18333333333333335,9,10
apples,action_1,high,5,6.0,0.0,3.0,0.0,2.0,0.5,9,10
apples,action_1,high,6,6.0,0.0,1.1,0.19999999999999998,2.0,0.18333333333333335,9,10
apples,action_1,high,7,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,9,10
apples,action_1,high,8,3.0,0.0,3.0,0.0,1.0,0.5,9,10
apples,action_2,low,0,0.0,0.0,0.05,0.15000000000000002,0.0,0.008333333333333333,9,10
apples,action_2,low,1,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,9,10
apples,action_2,low,2,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,9,10
apples,action_2,low,3,3.0,0.0,2.5,0.0,1.0,0.41666666666666663,9,10
apples,action_2,low,4,6.0,0.0,1.0,0.0,2.0,0.16666666666666666,9,10
apples,action_2,low,5,6.0,0.0,3.85,0.22912878474779202,2.0,0.6416666666666666,9,10
apples,action_2,low,6,0.0,0.0,0.0,0.0,0.0,0.0,9,10
apples,action_2,low,7,3.0,0.0,3.5,0.0,1.0,0.5833333333333333,9,10
apples,action_2,low,8,0.0,0.0,2.0,0.0,0.0,0.3333333333333333,9,10
apples,action_2,high,0,0.0,0.0,0.0,0.0,0.0,0.0,9,10
apples,action_2,high,1,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,9,10
apples,action_2,high,2,3.0,0.0,2.5,0.0,1.0,0.41666666666666663,9,10
apples,action_2,high,3,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,9,10
apples,action_2,high,4,0.0,0.0,0.0,0.0,0.0,0.0,9,10
apples,action_2,high,5,6.0,0.0,1.1,0.19999999999999998,2.0,0.18333333333333335,9,10
apples,action_2,high,6,0.0,0.0,2.0,0.0,0.0,0.3333333333333333,9,10
apples,action_2,high,7,6.0,0.0,3.0,0.0,2.0,0.5,9,10
apples,action_2,high,8,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,9,10
apples,action_3,low,0,0.0,0.0,0.0,0.0,0.0,0.0,9,10
apples,action_3,low,1,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,9,10
apples,action_3,low,2,3.0,0.0,2.5,0.0,1.0,0.41666666666666663,9,10
apples,action_3,low,3,6.0,0.0,2.0,0.0,2.0,0.3333333333333333,9,10
