scenario_label,effort_condition,action,prior_raw,prior_raw_std,prior,n_runs
basketball,low,1,5.409999999999999,0.13747727084867511,0.7882689556509299,10
basketball,low,2,1.38,0.27495454169735045,0.21173104434907014,10
basketball,high,1,0.8399999999999999,0.986103442849684,0.14506172839506173,10
basketball,high,2,5.4399999999999995,0.11999999999999993,0.8549382716049383,10
birthday,low,1,5.5,0.0,0.8115942028985508,10
birthday,low,2,1.1999999999999997,2.220446049250313e-16,0.18840579710144925,10
birthday,high,1,5.470000000000001,0.08999999999999996,0.8037518037518038,10
birthday,high,2,1.2599999999999998,0.18000000000000005,0.19624819624819623,10
brunch,low,1,5.5,0.0,0.8115942028985508,10
brunch,low,2,1.1999999999999997,2.220446049250313e-16,0.18840579710144925,10
brunch,high,1,5.5,0.0,0.8115942028985508,10
brunch,high,2,1.1999999999999997,2.220446049250313e-16,0.18840579710144925,10
takeout,low,1,5.5,0.0,0.8115942028985508,10
takeout,low,2,1.1999999999999997,2.220446049250313e-16,0.18840579710144925,10
takeout,high,1,5.5,0.0,0.8115942028985508,10
takeout,high,2,1.1999999999999997,2.220446049250313e-16,0.18840579710144925,10
cooking,low,1,5.529999999999999,0.08999999999999996,0.8124098124098124,10
cooking,low,2,1.1999999999999997,2.220446049250313e-16,0.18759018759018758,10
cooking,high,1,5.5,0.0,0.8115942028985508,10
cooking,high,2,1.1999999999999997,2.220446049250313e-16,0.18840579710144925,10
apples,low,1,5.5,0.0,0.7088607594936708,10
apples,low,2,2.2,0.0,0.2911392405063291,10
apples,high,1,5.5,0.0,0.5656565656565656,10
apples,high,2,4.200000000000001,8.881784197001252e-16,0.4343434343434344,10
dip,low,1,5.619999999999999,0.1469693845669906,0.8148148148148148,10
dip,low,2,1.1999999999999997,2.220446049250313e-16,0.1851851851851852,10
dip,high,1,5.5,0.0,0.8115942028985508,10
dip,high,2,1.1999999999999997,2.220446049250313e-16,0.18840579710144925,10
drinks,low,1,5.5,0.0,0.8115942028985508,10
drinks,low,2,1.1999999999999997,2.220446049250313e-16,0.18840579710144925,10
drinks,high,1,5.5,0.0,0.7272727272727273,10
drinks,high,2,2.0,0.40000000000000013,0.27272727272727276,10
driving,low,1,5.5,0.0,0.7088607594936708,10
driving,low,2,2.2,0.0,0.2911392405063291,10
driving,high,1,5.200000000000001,8.881784197001252e-16,0.7066666666666666,10
driving,high,2,2.1000000000000005,4.440892098500626e-16,0.29333333333333333,10
fair,low,1,5.200000000000001,8.881784197001252e-16,0.5830583058305832,10
fair,low,2,3.69,1.237295437638077,0.41694169416941695,10
fair,high,1,5.200000000000001,8.881784197001252e-16,0.5353535353535354,10
fair,high,2,4.5,0.0,0.4646464646464646,10
gala,low,1,5.5,0.0,0.8115942028985508,10
gala,low,2,1.1999999999999997,2.220446049250313e-16,0.18840579710144925,10
gala,high,1,0.0,0.0,0.01754385964912281,10
gala,high,2,5.5,0.0,0.9824561403508772,10
hike,low,1,5.5,0.0,0.8115942028985508,10
hike,low,2,1.1999999999999997,2.220446049250313e-16,0.18840579710144925,10
hike,high,1,5.200000000000001,8.881784197001252e-16,0.736111111111111,10
hike,high,2,1.8,0.0,0.2638888888888889,10
oysters,low,1,5.5,0.0,0.8115942028985508,10
oysters,low,2,1.1999999999999997,2.220446049250313e-16,0.18840579710144925,10
oysters,high,1,5.35,0.1499999999999999,0.7730496453900709,10
oysters,high,2,1.5,0.30000000000000004,0.22695035460992913,10
social,low,1,5.200000000000001,8.881784197001252e-16,0.736111111111111,10
social,low,2,1.8,0.0,0.2638888888888889,10
social,high,1,4.200000000000001,2.0,0.4725274725274725,10
social,high,2,4.7,0.39999999999999997,0.5274725274725274,10
soup,low,1,5.200000000000001,8.881784197001252e-16,0.736111111111111,10
soup,low,2,1.8,0.0,0.2638888888888889,10
soup,high,1,2.4,0.15491933384829662,0.3184713375796178,10
soup,high,2,5.250000000000001,0.12845232578665128,0.6815286624203822,10
wedding,low,1,5.200000000000001,8.881784197001252e-16,0.736111111111111,10
wedding,low,2,1.8,0.0,0.2638888888888889,10
wedding,high,1,5.200000000000001,8.881784197001252e-16,0.736111111111111,10
wedding,high,2,1.8,0.0,0.2638888888888889,10
