scenario_label,action,access_raw,access_raw_std,effort_raw,effort_raw_std,access,effort,n_runs_access,n_runs_effort,n_failures_access,n_failures_effort
basketball,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
basketball,1,0.15,0.22912878474779202,4.5,0.0,0.049999999999999996,0.75,10,10,0,0
basketball,2,5.65,0.22912878474779197,1.0,0.0,1.8833333333333333,0.16666666666666666,10,10,0,0
basketball,3,6.0,0.0,1.0,0.0,2.0,0.16666666666666666,10,10,0,0
birthday,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
birthday,1,0.0,0.0,3.5,0.0,0.0,0.5833333333333333,10,10,0,0
birthday,2,3.35,0.32015621187164245,2.5,0.0,1.1166666666666667,0.41666666666666663,10,10,0,0
birthday,3,5.9,0.10000000000000009,4.0,0.0,1.9666666666666668,0.6666666666666666,10,10,0,0
brunch,0,2.5,0.0,2.3,0.39999999999999997,0.8333333333333333,0.3833333333333333,10,10,0,0
brunch,1,1.5,0.0,4.119999999999999,0.16000000000000014,0.5,0.6866666666666665,10,10,0,0
brunch,2,2.8,0.0,1.94,0.27999999999999997,0.9333333333333332,0.3233333333333333,10,10,0,0
brunch,3,5.0,0.0,0.74,0.12000000000000002,1.6666666666666665,0.12333333333333332,10,10,0,0
takeout,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
takeout,1,1.1,0.19999999999999998,1.8,0.45825756949558394,0.3666666666666667,0.3,10,10,0,0
takeout,2,4.65,0.22912878474779202,0.25,0.25,1.55,0.041666666666666664,10,10,0,0
takeout,3,6.0,0.0,4.799999999999999,8.881784197001252e-16,2.0,0.7999999999999998,10,10,0,0
cooking,0,0.5,0.0,0.1,0.2,0.16666666666666666,0.016666666666666666,10,10,0,0
cooking,1,2.37,0.39,2.5,0.0,0.79,0.41666666666666663,10,10,0,0
cooking,2,4.160000000000001,0.12000000000000012,2.8,0.0,1.386666666666667,0.4666666666666666,10,10,0,0
cooking,3,5.769999999999999,0.08999999999999994,1.7400000000000002,0.18000000000000005,1.923333333333333,0.29000000000000004,10,10,0,0
apples,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
apples,1,2.5,0.0,1.5,0.0,0.8333333333333333,0.25,10,10,0,0
apples,2,5.56,0.36660605559646714,2.0,0.0,1.853333333333333,0.3333333333333333,10,10,0,0
apples,3,6.0,0.0,2.0,0.0,2.0,0.3333333333333333,10,10,0,0
dip,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
dip,1,0.0,0.0,1.5,0.0,0.0,0.25,10,10,0,0
dip,2,2.7,0.6,2.5,0.0,0.9,0.41666666666666663,10,10,0,0
dip,3,5.92,0.09797958971132721,4.799999999999999,8.881784197001252e-16,1.9733333333333332,0.7999999999999998,10,10,0,0
drinks,0,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,10,10,0,0
drinks,1,1.5,0.3872983346207417,2.5,0.0,0.5,0.41666666666666663,10,10,0,0
drinks,2,4.160000000000001,0.08000000000000007,1.8,0.0,1.386666666666667,0.3,10,10,0,0
drinks,3,6.0,0.0,0.2,0.0,2.0,0.03333333333333333,10,10,0,0
driving,0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,0,0
driving,1,0.0,0.0,2.5,0.0,0.0,0.41666666666666663,10,10,0,0
driving,2,2.5,0.0,1.53,0.09000000000000001,0.8333333333333333,0.255,10,10,0,0
