scenario_label,observed_action,relationship_condition,alt_idx,action_text,is_share
basketball,action_0,0,0,Carissa buys the hot dog with their combined cash,0
basketball,action_0,0,1,Josh buys the hot dog with their combined cash,0
basketball,action_0,0,2,They take turns eating the hot dog,1
basketball,action_0,0,3,They ask the vendor if they can pay with other methods or work out a compromise,1
basketball,action_0,0,4,Carissa goes to an ATM to get more cash while Josh waits,1
basketball,action_0,0,5,Josh goes to an ATM to get more cash while Carissa waits,1
basketball,action_0,0,6,They decide to split the cost of the hot dog and one of them goes to get change,1
basketball,action_0,0,7,One of them lends the other the exact amount needed to buy the hot dog,0
basketball,action_0,0,8,They look for someone who can lend them money or buy the hot dog for them,1
basketball,action_0,50,0,Carissa buys the hot dog and eats it alone,0
basketball,action_0,50,1,Josh buys the hot dog and eats it alone,0
basketball,action_0,50,2,They decide to share the hot dog,1
basketball,action_0,50,3,"Carissa goes to an ATM to get more cash while Josh waits, then they buy two hot dogs",0
basketball,action_0,50,4,"Josh goes to an ATM to get more cash while Carissa waits, then they buy two hot dogs",0
basketball,action_0,50,5,They ask someone nearby if they can borrow cash to buy two hot dogs,1
basketball,action_0,50,6,Carissa lends Josh the rest of the money needed to buy the hot dog for himself,0
basketball,action_0,50,7,Josh lends Carissa the rest of the money needed to buy the hot dog for herself,0
basketball,action_0,50,8,"They take turns putting cash on the counter to buy one hot dog, then cut it in half",1
basketball,action_0,50,9,They look for a different vendor that accepts card payments,1
basketball,action_0,75,0,Carissa buys the hot dog and eats it alone,0
basketball,action_0,75,1,Josh buys the hot dog and eats it alone,0
basketball,action_0,75,2,They flip a coin to decide who gets the hot dog,0
basketball,action_0,75,3,"They ask someone if they can pay with card and the stand owner says no, but a stranger offers to buy one for them",1
basketball,action_0,75,4,Carissa and Josh decide to share the hot dog,1
basketball,action_0,75,5,"They take turns eating the hot dog, with one person holding it while the other takes a bite",1
basketball,action_0,75,6,"One of them goes to an ATM to withdraw cash while the other waits, then they return to buy a hot dog each",0
basketball,action_0,75,7,They look for another food stand that accepts card payments,1
basketball,action_0,75,8,Carissa or Josh calls a friend or family member to bring them some cash,1
basketball,action_0,100,0,Carissa buys the hot dog and eats it alone,0
basketball,action_0,100,1,Josh buys the hot dog and eats it alone,0
basketball,action_0,100,2,They take turns eating the hot dog,1
basketball,action_0,100,3,They cut the hot dog in half and share it,1
basketball,action_0,100,4,"Carissa goes to an ATM to withdraw cash while Josh waits, then they come back to buy two hot dogs",1
basketball,action_0,100,5,"Josh goes to an ATM to withdraw cash while Carissa waits, then they come back to buy two hot dogs",1
basketball,action_0,100,6,They ask someone nearby if they can borrow cash to buy two hot dogs and promise to pay them back,1
basketball,action_0,100,7,One of them buys the hot dog and then breaks it in half to give some to the other,1
basketball,action_1,0,0,One person buys and eats the hot dog alone,0
basketball,action_1,0,1,Both people decide not to get a hot dog and look for other food options,0
basketball,action_1,0,2,"They take turns eating the hot dog in its entirety, with one person eating first and then the other",1
basketball,action_1,0,3,"One person buys the hot dog and then hands it to the other to eat, without eating any themselves",0
basketball,action_1,0,4,They try to find an ATM or another way to get more cash so they can each buy a hot dog,0
basketball,action_1,0,5,They ask the vendor if they can get a smaller or cheaper food item that they can both afford,1
basketball,action_1,0,6,"One person offers to buy the hot dog and the other person owes them back, to be paid later",0
basketball,action_1,0,7,"They decide to share the cost and eat the hot dog together, taking bites from the same hot dog",1
basketball,action_1,0,8,They look for someone else who can lend them money to buy two hot dogs,0
basketball,action_1,50,0,One person buys and eats the hot dog alone,0
basketball,action_1,50,1,They decide not to buy and eat anything,0
basketball,action_1,50,2,They take turns eating the hot dog in its entirety,1
basketball,action_1,50,3,One person buys the hot dog and gives the other a few bites,1
basketball,action_1,50,4,They try to find an ATM or alternative payment method together,1
basketball,action_1,50,5,"They ask the vendor if they can pay another way, together",1
basketball,action_1,50,6,One person goes to find another food option that they can afford and eat separately,0
basketball,action_1,50,7,They flip a coin to see who gets the hot dog,0
basketball,action_1,50,8,"They buy the hot dog and eat it together, taking bites from the same end",1
basketball,action_1,75,0,One person buys and eats the hot dog alone,0
basketball,action_1,75,1,They decide not to buy a hot dog and look for other food options,0
basketball,action_1,75,2,"They take turns eating the hot dog in its entirety, with one person eating first and then the other",1
basketball,action_1,75,3,One person buys the hot dog and cuts it into smaller pieces to feed to the other,1
basketball,action_1,75,4,"They ask the vendor if they can pay with card or other non-cash method, and if not, leave",0
basketball,action_1,75,5,They look for an ATM or other way to get more cash so they can each buy a hot dog,0
basketball,action_1,75,6,"They decide to share the hot dog by eating it together, taking bites one after the other",1
basketball,action_1,75,7,"One person goes to an ATM to get more cash while the other waits, then they each buy a hot dog",0
basketball,action_1,100,0,Carissa buys the hot dog and eats it all by herself,0
basketball,action_1,100,1,Josh buys the hot dog and eats it all by himself,0
basketball,action_1,100,2,They decide not to buy a hot dog and look for other food options that accept card payments,0
basketball,action_1,100,3,"Carissa and Josh take turns eating the hot dog, passing it back and forth",1
basketball,action_1,100,4,They abandon the hot dog stand and go to a different level of the arena to see if there are other options,0
basketball,action_1,100,5,One of them goes to an ATM to withdraw cash so they can buy two hot dogs,0
basketball,action_1,100,6,"Carissa and Josh order the hot dog and eat it together, biting into it at the same time",1
basketball,action_1,100,7,They ask someone nearby if they can borrow money to buy two hot dogs,0
basketball,action_1,100,8,Carissa and Josh flip a coin to decide who gets to eat the hot dog,0
basketball,action_2,0,0,Carissa buys the hot dog and eats it alone,0
basketball,action_2,0,1,Josh buys the hot dog and eats it alone,0
basketball,action_2,0,2,They decide not to buy a hot dog and leave the stand,0
basketball,action_2,0,3,They cut the hot dog in half and each eat their portion separately,1
basketball,action_2,0,4,Carissa buys the hot dog and Josh pays her back later,0
basketball,action_2,0,5,Josh buys the hot dog and Carissa pays him back later,0
basketball,action_2,0,6,"They take turns eating the hot dog, but use a barrier like a napkin to avoid direct contact",1
basketball,action_2,0,7,One person eats the hot dog and the other eats a different snack they had with them,0
basketball,action_2,50,0,Carissa buys the hot dog and eats it alone,0
basketball,action_2,50,1,Josh buys the hot dog and eats it alone,0
basketball,action_2,50,2,They decide not to buy a hot dog and go back to their seats,0
basketball,action_2,50,3,They look for another vendor that accepts card payments,0
basketball,action_2,50,4,Carissa and Josh split the cost of the hot dog by going to an ATM to withdraw cash,1
basketball,action_2,50,5,They cut the hot dog in half and each eat their portion separately,1
basketball,action_2,50,6,One person eats half of the hot dog and then hands the remaining half to the other,1
basketball,action_2,50,7,They ask someone else if they can borrow money to buy two hot dogs,0
basketball,action_2,50,8,"Carissa and Josh take turns eating small bites of the hot dog, but not from opposite ends",1
basketball,action_2,50,9,They flip a coin to decide who gets to buy and eat the hot dog,0
basketball,action_2,75,0,Carissa buys the hot dog and eats it alone,0
basketball,action_2,75,1,Josh buys the hot dog and eats it alone,0
basketball,action_2,75,2,They decide not to buy a hot dog and go back to their seats,0
basketball,action_2,75,3,They cut the hot dog in half and each eat their own portion,1
basketball,action_2,75,4,Carissa buys the hot dog and then offers Josh a few bites,1
basketball,action_2,75,5,Josh buys the hot dog and then offers Carissa a few bites,1
basketball,action_2,75,6,They look for an ATM or another vendor that accepts cards to buy two hot dogs,0
basketball,action_2,75,7,One person goes to find a different food vendor that accepts cards while the other waits,0
basketball,action_2,100,0,Carissa buys the hot dog and eats it herself,0
basketball,action_2,100,1,Josh buys the hot dog and eats it himself,0
basketball,action_2,100,2,They decide not to buy a hot dog and leave the stand,0
basketball,action_2,100,3,They cut the hot dog in half and each eat their own portion,1
basketball,action_2,100,4,"Carissa buys the hot dog and cuts it in half, giving one half to Josh",1
basketball,action_2,100,5,"Josh buys the hot dog and cuts it in half, giving one half to Carissa",1
basketball,action_2,100,6,"They ask the vendor if they can pay with card or other non-cash method, and if not, they look for another vendor that does",0
basketball,action_2,100,7,One of them goes to an ATM to withdraw cash so they can both buy hot dogs,0
basketball,action_2,100,8,"They take turns eating small bites of the hot dog, but not from opposite ends",1
basketball,action_3,0,0,Carissa buys the hot dog and eats it alone,0
basketball,action_3,0,1,Josh buys the hot dog and eats it alone,0
basketball,action_3,0,2,They flip a coin to decide who gets the hot dog,0
basketball,action_3,0,3,They decide not to get a hot dog and leave the stand,0
basketball,action_3,0,4,Carissa and Josh take turns eating the hot dog from opposite ends,1
basketball,action_3,0,5,They cut the hot dog in half and each eat their own portion,1
basketball,action_3,0,6,Carissa buys the hot dog and offers Josh a small bite or a topping,1
basketball,action_3,0,7,Josh buys the hot dog and offers Carissa a small bite or a topping,1
basketball,action_3,50,0,Carissa buys the hot dog and eats it alone,0
basketball,action_3,50,1,Josh buys the hot dog and eats it alone,0
basketball,action_3,50,2,They decide not to buy a hot dog and go back to their seats,0
basketball,action_3,50,3,They cut the hot dog in half and each eat their own portion,1
basketball,action_3,50,4,Carissa buys the hot dog and offers Josh a few bites from the other end,1
basketball,action_3,50,5,Josh buys the hot dog and offers Carissa a few bites from the other end,1
basketball,action_3,50,6,They try to find an ATM or another way to get more cash to buy two hot dogs,0
basketball,action_3,50,7,They ask someone if they can buy a hot dog with a card and then pay them back in cash,0
basketball,action_3,50,8,They flip a coin to see who gets to buy and eat the hot dog,0
basketball,action_3,75,0,Carissa buys the hot dog and eats it alone,0
basketball,action_3,75,1,Josh buys the hot dog and eats it alone,0
basketball,action_3,75,2,They decide not to buy a hot dog and look for alternative snacks,0
basketball,action_3,75,3,They cut the hot dog in half and each eat their own portion,1
basketball,action_3,75,4,"Carissa buys the hot dog and cuts it in half, giving one half to Josh",1
basketball,action_3,75,5,"Josh buys the hot dog and cuts it in half, giving one half to Carissa",1
basketball,action_3,75,6,"They take turns eating the hot dog, one person eating a bite then handing it to the other",1
basketball,action_3,75,7,They abandon the hot dog stand and go to an ATM to get more cash to buy two hot dogs,0
basketball,action_3,100,0,Carissa buys the hot dog and eats it alone,0
basketball,action_3,100,1,Josh buys the hot dog and eats it alone,0
basketball,action_3,100,2,They decide not to buy a hot dog and go back to their seats,0
basketball,action_3,100,3,They cut the hot dog in half and each eat their own portion,1
basketball,action_3,100,4,"Carissa buys the hot dog and cuts it in half to share, but they eat from opposite ends",1
basketball,action_3,100,5,"They take turns eating the hot dog, with one person eating a few bites then handing it to the other",1
basketball,action_3,100,6,One person goes to an ATM to withdraw cash so they can each buy a hot dog,0
basketball,action_3,100,7,"They ask someone if they can pay with card and the vendor says no, so they leave without hot dogs",0
basketball,action_3,100,8,"Carissa or Josh offers to buy the hot dog for the other person, who eats it alone",0
birthday,action_0,0,0,Lio and Mitchell split a slice of cake between them,1
birthday,action_0,0,1,Lio eats a whole slice by himself,0
birthday,action_0,0,2,Mitchell gives his leftover cake to Lio,1
birthday,action_0,0,3,Lio and Mitchell ask the birthday person for a smaller slice,0
birthday,action_0,0,4,Lio throws away his slice and Mitchell eats his slice alone,0
birthday,action_0,0,5,Lio and Mitchell decide not to eat any cake together,0
birthday,action_0,0,6,Mitchell offers Lio a bite of his slice,1
birthday,action_0,0,7,Lio and Mitchell take their slices to separate tables to eat,0
birthday,action_0,0,8,Lio asks Mitchell if he wants to finish Lio's slice if Lio gets one,1
birthday,action_0,0,9,Neither Lio nor Mitchell touch the cake and it is left on the plate,0
birthday,action_0,50,0,Lio and Mitchell split one slice of cake between them,1
birthday,action_0,50,1,Lio eats a slice and Mitchell eats a separate slice,0
birthday,action_0,50,2,Neither Lio nor Mitchell eat any cake,0
birthday,action_0,50,3,Lio and Mitchell ask the birthday person if they can have a smaller slice or a taste,1
birthday,action_0,50,4,Lio eats the whole slice and Mitchell doesn't have any,0
birthday,action_0,50,5,Mitchell eats the whole slice and Lio doesn't have any,0
birthday,action_0,50,6,Lio and Mitchell take their slices home to eat later or share with someone else,0
birthday,action_0,50,7,"Lio and Mitchell discuss and decide together how to divide the cake, but end up eating separate slices",0
birthday,action_0,50,8,Lio and Mitchell feed each other small bites of their separate slices,1
birthday,action_0,50,9,"Lio cuts his slice into smaller pieces and offers some to Mitchell, who accepts",1
birthday,action_0,75,0,"Lio and Mitchell share a slice of cake, taking turns with the same fork",1
birthday,action_0,75,1,"Lio eats a slice alone, Mitchell eats another slice alone",0
birthday,action_0,75,2,Neither Lio nor Mitchell eat any cake,0
birthday,action_0,75,3,Lio and Mitchell cut their slices in half and exchange halves to try different parts of the cake,1
birthday,action_0,75,4,Mitchell eats his slice and Lio tells him about the cake she had earlier that day,0
birthday,action_0,75,5,"Lio and Mitchell decide to take their slices home and eat them later, separately",0
birthday,action_0,75,6,"Lio and Mitchell take a small bite of each other's slice, using their own forks",1
birthday,action_0,75,7,"Lio cuts Mitchell's slice into smaller pieces, and Mitchell eats the smaller pieces",0
birthday,action_0,75,8,Lio and Mitchell ask the birthday person for a smaller slice or a different dessert to share,1
birthday,action_0,75,9,"Lio eats Mitchell's leftover cake, after Mitchell is done with his portion",1
birthday,action_0,100,0,"Lio and Mitchell share one slice of cake, eating it together",1
birthday,action_0,100,1,Lio eats a slice and Mitchell doesn't have any cake,0
birthday,action_0,100,2,Neither Lio nor Mitchell eat any cake,0
birthday,action_0,100,3,"Lio and Mitchell each get a separate, smaller slice of cake",0
birthday,action_0,100,4,Mitchell finishes his slice and Lio eats the leftovers from another guest's unfinished slice,0
birthday,action_0,100,5,Lio and Mitchell ask the host to cut the slices into smaller pieces and they each take a few,1
birthday,action_0,100,6,Lio eats half of one slice and Mitchell eats the other half,1
birthday,action_0,100,7,Lio and Mitchell decide to take a slice home together to finish later,1
birthday,action_0,100,8,Mitchell eats his slice and then feeds Lio a few bites of his,1
birthday,action_1,0,0,Lio eats a whole slice by himself,0
birthday,action_1,0,1,Mitchell eats a whole slice by himself,0
birthday,action_1,0,2,They leave the slice on the table and don't eat it,0
birthday,action_1,0,3,Lio and Mitchell take turns eating from the same slice using the same fork,1
birthday,action_1,0,4,Lio cuts the slice into smaller pieces and they both pick from the pieces,1
birthday,action_1,0,5,They ask someone else to cut the slice into smaller portions for them to share,1
birthday,action_1,0,6,Lio eats a small portion and then hands the rest of the slice to Mitchell,1
birthday,action_1,0,7,Mitchell eats a small portion and then hands the rest of the slice to Lio,1
birthday,action_1,0,8,They decide to share the slice but use separate knives to cut their own portions,1
