scenario_label,action,prior_raw,prior_raw_std,prior,n_runs
basketball,0,5.05,0.4153311931459037,0.3820474777448071,10
basketball,1,4.659999999999999,0.22449944320643653,0.3531157270029673,10
basketball,2,2.1,0.15491933384829668,0.1632047477744807,10
basketball,3,1.27,0.3494281041931229,0.1016320474777448,10
birthday,0,2.5,0.0,0.17687074829931973,10
birthday,1,5.799999999999999,8.881784197001252e-16,0.401360544217687,10
birthday,2,4.200000000000001,8.881784197001252e-16,0.29251700680272114,10
birthday,3,1.8,0.0,0.1292517006802721,10
brunch,0,5.72,0.23999999999999994,0.32172470978441126,10
brunch,1,2.1700000000000004,0.16763054614240208,0.1254836926478718,10
brunch,2,5.260000000000001,0.11999999999999993,0.29629629629629634,10
brunch,3,4.540000000000001,0.22449944320643644,0.25649530127142073,10
takeout,0,5.5,0.0,0.3478260869565218,10
takeout,1,5.799999999999999,8.881784197001252e-16,0.3664596273291925,10
takeout,2,4.200000000000001,8.881784197001252e-16,0.26708074534161497,10
takeout,3,0.2,0.0,0.01863354037267081,10
cooking,0,0.5,0.0,0.045662100456621,10
cooking,1,5.799999999999999,8.881784197001252e-16,0.4490106544901064,10
cooking,2,2.21,0.33000000000000007,0.17579908675799086,10
cooking,3,4.230000000000001,0.08999999999999994,0.32952815829528165,10
apples,0,5.5,0.0,0.308030803080308,10
apples,1,4.44,0.2939387691339812,0.24972497249724973,10
apples,2,5.699999999999999,0.30000000000000004,0.319031903190319,10
apples,3,2.1400000000000006,0.048989794855663606,0.12321232123212325,10
dip,0,2.5,0.0,0.18978102189781024,10
dip,1,5.799999999999999,8.881784197001252e-16,0.43065693430656926,10
dip,2,4.200000000000001,8.881784197001252e-16,0.3138686131386862,10
dip,3,0.8,0.0,0.06569343065693431,10
drinks,0,5.5,0.0,0.4117647058823529,10
drinks,1,4.799999999999999,8.881784197001252e-16,0.3602941176470587,10
drinks,2,2.1000000000000005,4.440892098500626e-16,0.161764705882353,10
drinks,3,0.8,0.0,0.0661764705882353,10
driving,0,4.5,0.0,0.31746031746031744,10
driving,1,5.799999999999999,8.881784197001252e-16,0.40717736369910273,10
driving,2,3.1700000000000004,1.0305823596394421,0.2256728778467909,10
driving,3,0.6199999999999999,0.27495454169735045,0.04968944099378881,10
fair,0,4.970000000000001,0.8532877591996735,0.31786833855799373,10
fair,1,4.869999999999999,0.6496922348312315,0.3115987460815046,10
fair,2,5.09,0.6106553856308808,0.32539184952978056,10
fair,3,0.62,0.198997487421324,0.04514106583072101,10
gala,0,5.5,0.0,0.36387264457439894,10
gala,1,2.4200000000000004,0.5230678732248808,0.16374269005847955,10
gala,2,2.4099999999999997,1.2541531007018243,0.16309291747888238,10
gala,3,4.66,0.7485986908885159,0.3092917478882391,10
hike,0,4.8,0.2449489742783178,0.3247183565275017,10
hike,1,5.709999999999999,0.13747727084867511,0.3850231941683234,10
hike,2,2.19,0.2071231517720798,0.15175612988734266,10
hike,3,1.9899999999999998,0.7555792479945437,0.13850231941683236,10
oysters,0,5.5,0.0,0.3982930298719772,10
oysters,1,2.56,0.36660605559646714,0.1891891891891892,10
oysters,2,4.380000000000001,0.27495454169735023,0.3186344238975818,10
oysters,3,1.22,0.34292856398964494,0.09388335704125178,10
social,0,5.5,0.0,0.38888888888888884,10
social,1,2.8,0.0,0.20138888888888887,10
social,2,4.200000000000001,8.881784197001252e-16,0.29861111111111116,10
social,3,1.5,0.0,0.11111111111111112,10
soup,0,6.0,0.0,0.43231750531537916,10
soup,1,1.75,0.6422616289332564,0.13111268603827075,10
soup,2,4.38,0.2638181191654584,0.3175053153791637,10
soup,3,1.58,0.2785677655436824,0.1190644932671864,10
wedding,0,5.5,0.0,0.33775633293124246,10
wedding,1,3.7800000000000002,0.6415605972938178,0.23401688781664662,10
wedding,2,4.41,0.13747727084867511,0.27201447527141137,10
wedding,3,2.4899999999999998,0.4846648326421053,0.15621230398069966,10
