scenario_label,action,lm_rating,lm_rating_std,n_valid_runs,human_mean
basketball,0,0.35555555555555557,0.40030852299226266,9,1.0325426523950785
basketball,1,1.6666666666666667,0.7717224601860151,9,1.1334750366164346
basketball,2,3.511111111111111,0.7922463764433728,9,2.8814039602240893
basketball,3,5.444444444444445,0.4499657051403686,9,4.815050597839839
birthday,0,0.9,0.2683281572999748,5,1.031631745479417
birthday,1,2.18,0.854166260162505,5,1.1615603916024186
birthday,2,3.8199999999999994,0.4534313619501853,5,3.0300738977818726
birthday,3,5.74,0.11999999999999993,5,5.006283030306527
brunch,0,0.12222222222222223,0.09162456945817024,9,1.0163761451471407
brunch,1,1.8555555555555554,0.5123174170399335,9,1.1631740766256224
brunch,2,2.677777777777778,0.5613035973473371,9,2.431064262187658
brunch,3,4.844444444444444,0.5314782552489509,9,3.8276026407184447
conference,0,0.4666666666666667,0.26246692913372704,9,1.064557119109734
conference,1,1.5777777777777777,0.632065006814573,9,1.2798205059089216
conference,2,3.9555555555555557,0.38904758666692435,9,3.9078826292205777
conference,3,5.688888888888888,0.223330569358242,9,5.2318360826252865
cooking,0,0.475,0.373329613076702,8,1.0481905715422135
cooking,1,2.4000000000000004,0.6383572667401851,8,1.447176683090085
cooking,2,3.1,0.5766281297335398,8,3.2488782644522134
cooking,3,5.5625,0.3533323506275642,8,4.575977983648144
crabs,0,1.15,0.4092676385936225,4,1.0479175737990425
crabs,1,2.05,0.3570714214271425,4,1.1946672826157922
crabs,2,4.7,0.5,4,3.937735598954877
crabs,3,5.725,0.12990381056766573,4,4.62775441841872
dip,0,1.3333333333333333,1.0796089827134432,6,1.0994097778600909
dip,1,3.9,1.3428824718989125,6,2.2149924693271017
dip,2,3.1666666666666665,0.8768630958643937,6,3.1837406660961296
dip,3,5.866666666666666,0.17950549357115017,6,4.6636461597612
drinks,0,0.08888888888888889,0.08748897637790902,9,1.1005663267152552
drinks,1,1.7555555555555555,0.47635446911613377,9,2.242393163251721
drinks,2,2.4555555555555557,0.5698169513314705,9,3.1117082107597955
drinks,3,5.433333333333334,0.27487370837451053,9,4.506964432896476
driving,0,0.5,0.35777087639996635,10,1.0660074478882418
driving,1,1.2,0.32249030993194194,10,1.1802938991783758
driving,2,2.8400000000000003,0.5986651818838306,10,3.046503490711295
driving,3,5.4799999999999995,0.4166533331199931,10,5.004223689063463
fair,0,1.1500000000000001,0.95524865872714,6,1.1315269557742325
fair,1,1.6666666666666667,0.2624669291337271,6,1.2451263948105675
fair,2,4.1,0.6271629240742259,6,3.5349172687498167
fair,3,5.666666666666667,0.2426703296426839,6,5.258378690067831
gala,0,0.24000000000000005,0.142828568570857,10,1.0659949365328951
gala,1,4.0600000000000005,1.2970736293672769,10,3.0049863549841245
gala,2,4.96,0.6606057825965497,10,3.727645791915597
gala,3,5.83,0.1846618531261939,10,4.795670233636762
hike,0,0.1875,0.14523687548277814,8,1.097420800339818
hike,1,1.3875000000000002,0.42555111326373013,8,1.2420399412252352
hike,2,3.45,0.6284902544988267,8,3.8302867709469814
hike,3,5.449999999999999,0.33911649915626335,8,5.329589762115272
oysters,0,0.6428571428571429,0.40657855630736306,7,1.080937910414144
oysters,1,1.6714285714285715,0.6016982768186482,7,1.6767260173289844
oysters,2,3.0285714285714285,0.42999762695121174,7,3.721535540342329
oysters,3,5.614285714285715,0.5792324266489512,7,5.094016088212152
social,0,1.0222222222222221,0.5286834334831253,9,1.0824807502904816
social,1,2.9444444444444446,0.8111872110419547,9,3.0466084375054803
social,2,4.111111111111111,0.5108695081143398,9,4.401228354806483
social,3,5.699999999999999,0.44721359549995804,9,5.793282648788653
soup,0,0.3777777777777778,0.30469576001782417,9,1.0515795596285518
soup,1,2.2,0.6666666666666667,9,1.416639454933315
soup,2,3.2444444444444445,0.7875575620741934,9,4.005958984059207
soup,3,4.955555555555556,0.51448164012401,9,4.964221607377791
wedding,0,0.4125,0.3370367190678191,8,1.0816215492426566
wedding,1,1.6124999999999998,0.2570870475150392,8,1.2490049422594205
wedding,2,2.725,0.5332682251925385,8,2.4309756724487226
wedding,3,5.4750000000000005,0.4575751304430782,8,4.594464273895056
